nif,nombre,iban
B12345678,Suministros García SL,ES9121000418450200051332
B87654321,Tecnología Delta SL,ES7921000813610123456789
X1234567R,Juan Pérez (autónomo),ES1000492352082414205416
B46102331,Suministros Levante S.L.,ES2100491500051234567890
A41220987,Transportes Guadaira S.A.,ES7621000813610123456789
B30455812,Ofimática Cieza S.L.,ES6001825322180201588391
B98120774,Limpiezas Turia S.L.,ES4414650100951704302211
B96233419,Catering Hermanos Pico S.L.,ES1800815290070001234567
A46990201,Electricidad Montcada S.A.,ES3520385778983000765410
J40112358,Papelería Ruzafa S.C.,ES5531590012348765123407
B91455230,Seguridad Alcores S.L.,ES0900730100510505331902
A46311208,Construcciones Benimaclet S.A.,ES820128001123010004571
B98455101,Informática Benimámet S.L.,ES2702390806667122334455
B90233808,Mensajería Rápida del Sur S.L.,ES9368884400123588900142
DE812345678,Müller & Partner GmbH,DE89370400440532013000
FR40303265045,Consulting Méridional SARL,FR7630004000300000001234567
12.345.678/0001-95,Serviços Aljarafe Ltda,BR9700360305000010009795493C1
5010401075570,Tokyo Systems K.K.,JP010001233123456789012
